term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-06-06,5,G511,huynq121,491,14,GBC0903,,,,,0
SU22,2022-06-08,4,G511,huynq121,491,15,GBC0903,,,,,0
SU22,2022-06-08,5,G511,huynq121,491,16,GBC0903,,,,,0
SU22,2022-06-10,4,G511,huynq121,491,17,GBC0903,,,,,0
SU22,2022-06-10,5,G511,huynq121,491,18,GBC0903,,,,,0
SU22,2022-06-13,4,G511,huynq121,491,19,GBC0903,,,,,0
SU22,2022-06-13,5,G511,huynq121,491,20,GBC0903,,,,,0
SU22,2022-06-15,4,G511,huynq121,491,21,GBC0903,,,,,0
SU22,2022-06-15,5,G511,huynq121,491,22,GBC0903,,,,,0
SU22,2022-06-17,4,G511,huynq121,491,23,GBC0903,,,,,0
SU22,2022-06-17,5,G511,huynq121,491,24,GBC0903,,,,,0
SU22,2022-06-20,4,G511,huynq121,491,25,GBC0903,,,,,0
SU22,2022-06-20,5,G511,huynq121,491,26,GBC0903,,,,,0
SU22,2022-06-22,4,G511,huynq121,491,27,GBC0903,,,,,0
SU22,2022-06-22,5,G511,huynq121,491,28,GBC0903,,,,,0
SU22,2022-06-24,4,G511,huynq121,491,29,GBC0903,,,,,0
SU22,2022-06-24,5,G511,huynq121,491,30,GBC0903,,,,,0
SU22,2022-06-27,4,G511,huynq121,491,31,GBC0903,,,,,0
SU22,2022-06-27,5,G511,huynq121,491,32,GBC0903,,,,,0
SU22,2022-06-29,4,G511,huynq121,491,33,GBC0903,,,,,0
SU22,2022-06-29,5,G511,huynq121,491,34,GBC0903,,,,,0
SU22,2022-07-01,4,G511,huynq121,491,35,GBC0903,,,,,0
SU22,2022-07-01,5,G511,huynq121,491,36,GBC0903,,,,,0
SU22,2022-07-11,4,G511,huynq121,491,37,GBC0903,,,,,0
SU22,2022-07-11,5,G511,huynq121,491,38,GBC0903,,,,,0
SU22,2022-07-13,4,G511,huynq121,491,39,GBC0903,,,,,0
SU22,2022-07-13,5,G511,huynq121,491,40,GBC0903,,,,,0
SU22,2022-05-24,5,G401,vinhdk,736,1,GBC0903,,,,,0
SU22,2022-05-24,6,G401,vinhdk,736,2,GBC0903,,,,,0
SU22,2022-05-26,5,G401,vinhdk,736,3,GBC0903,,,,,0
SU22,2022-05-26,6,G401,vinhdk,736,4,GBC0903,,,,,0
SU22,2022-05-28,5,G401,vinhdk,736,5,GBC0903,,,,,0
SU22,2022-05-28,6,G401,vinhdk,736,6,GBC0903,,,,,0
SU22,2022-05-31,5,G401,vinhdk,736,7,GBC0903,,,,,0
SU22,2022-05-31,6,G401,vinhdk,736,8,GBC0903,,,,,0
SU22,2022-06-02,5,G401,vinhdk,736,9,GBC0903,,,,,0
SU22,2022-06-02,6,G401,vinhdk,736,10,GBC0903,,,,,0
SU22,2022-06-04,5,G401,vinhdk,736,11,GBC0903,,,,,0
SU22,2022-06-04,6,G401,vinhdk,736,12,GBC0903,,,,,0
SU22,2022-06-07,5,G401,vinhdk,736,13,GBC0903,,,,,0
SU22,2022-06-07,6,G401,vinhdk,736,14,GBC0903,,,,,0
SU22,2022-06-09,5,G401,vinhdk,736,15,GBC0903,,,,,0
SU22,2022-06-09,6,G401,vinhdk,736,16,GBC0903,,,,,0
SU22,2022-06-11,5,G401,vinhdk,736,17,GBC0903,,,,,0
SU22,2022-06-11,6,G401,vinhdk,736,18,GBC0903,,,,,0
SU22,2022-06-14,5,G401,vinhdk,736,19,GBC0903,,,,,0
SU22,2022-06-14,6,G401,vinhdk,736,20,GBC0903,,,,,0
SU22,2022-06-16,5,G401,vinhdk,736,21,GBC0903,,,,,0
SU22,2022-06-16,6,G401,vinhdk,736,22,GBC0903,,,,,0
SU22,2022-06-18,5,G401,vinhdk,736,23,GBC0903,,,,,0
SU22,2022-06-18,6,G401,vinhdk,736,24,GBC0903,,,,,0
SU22,2022-06-21,5,G401,vinhdk,736,25,GBC0903,,,,,0
SU22,2022-06-21,6,G401,vinhdk,736,26,GBC0903,,,,,0
SU22,2022-06-23,5,G401,vinhdk,736,27,GBC0903,,,,,0
SU22,2022-06-23,6,G401,vinhdk,736,28,GBC0903,,,,,0
SU22,2022-06-25,5,G401,vinhdk,736,29,GBC0903,,,,,0
SU22,2022-06-25,6,G401,vinhdk,736,30,GBC0903,,,,,0
SU22,2022-06-28,5,G401,vinhdk,736,31,GBC0903,,,,,0
SU22,2022-06-28,6,G401,vinhdk,736,32,GBC0903,,,,,0
SU22,2022-06-30,5,G401,vinhdk,736,33,GBC0903,,,,,0
SU22,2022-06-30,6,G401,vinhdk,736,34,GBC0903,,,,,0
SU22,2022-07-02,5,G401,vinhdk,736,35,GBC0903,,,,,0
SU22,2022-07-02,6,G401,vinhdk,736,36,GBC0903,,,,,0
SU22,2022-07-12,5,G401,vinhdk,736,37,GBC0903,,,,,0
SU22,2022-07-12,6,G401,vinhdk,736,38,GBC0903,,,,,0
SU22,2022-07-14,5,G401,vinhdk,736,39,GBC0903,,,,,0
SU22,2022-07-14,6,G401,vinhdk,736,40,GBC0903,,,,,0
SU22,2022-05-24,4,G407,huongttt,491,1,GBC0904,,,,,0
SU22,2022-05-24,5,G407,huongttt,491,2,GBC0904,,,,,0
SU22,2022-05-26,4,G407,huongttt,491,3,GBC0904,,,,,0
SU22,2022-05-26,5,G407,huongttt,491,4,GBC0904,,,,,0
SU22,2022-05-27,4,G407,huongttt,491,5,GBC0904,,,,,0
SU22,2022-05-27,5,G407,huongttt,491,6,GBC0904,,,,,0
SU22,2022-05-31,4,G407,huongttt,491,7,GBC0904,,,,,0
SU22,2022-05-31,5,G407,huongttt,491,8,GBC0904,,,,,0
SU22,2022-06-02,4,G407,huongttt,491,9,GBC0904,,,,,0
SU22,2022-06-02,5,G407,huongttt,491,10,GBC0904,,,,,0
SU22,2022-06-03,4,G407,huongttt,491,11,GBC0904,,,,,0
SU22,2022-06-03,5,G407,huongttt,491,12,GBC0904,,,,,0
SU22,2022-06-07,4,G407,huongttt,491,13,GBC0904,,,,,0
SU22,2022-06-07,5,G407,huongttt,491,14,GBC0904,,,,,0
SU22,2022-06-09,4,G407,huongttt,491,15,GBC0904,,,,,0
SU22,2022-06-09,5,G407,huongttt,491,16,GBC0904,,,,,0
SU22,2022-06-10,4,G407,huongttt,491,17,GBC0904,,,,,0
SU22,2022-06-10,5,G407,huongttt,491,18,GBC0904,,,,,0
SU22,2022-06-14,4,G407,huongttt,491,19,GBC0904,,,,,0
SU22,2022-06-14,5,G407,huongttt,491,20,GBC0904,,,,,0
SU22,2022-06-16,4,G407,huongttt,491,21,GBC0904,,,,,0
SU22,2022-06-16,5,G407,huongttt,491,22,GBC0904,,,,,0
SU22,2022-06-17,4,G407,huongttt,491,23,GBC0904,,,,,0
SU22,2022-06-17,5,G407,huongttt,491,24,GBC0904,,,,,0
SU22,2022-06-21,4,G407,huongttt,491,25,GBC0904,,,,,0
SU22,2022-06-21,5,G407,huongttt,491,26,GBC0904,,,,,0
SU22,2022-06-23,4,G407,huongttt,491,27,GBC0904,,,,,0
SU22,2022-06-23,5,G407,huongttt,491,28,GBC0904,,,,,0
SU22,2022-06-24,4,G407,huongttt,491,29,GBC0904,,,,,0
SU22,2022-06-24,5,G407,huongttt,491,30,GBC0904,,,,,0
SU22,2022-06-28,4,G407,huongttt,491,31,GBC0904,,,,,0
SU22,2022-06-28,5,G407,huongttt,491,32,GBC0904,,,,,0
SU22,2022-06-30,4,G407,huongttt,491,33,GBC0904,,,,,0
SU22,2022-06-30,5,G407,huongttt,491,34,GBC0904,,,,,0
SU22,2022-07-01,4,G407,huongttt,491,35,GBC0904,,,,,0
SU22,2022-07-01,5,G407,huongttt,491,36,GBC0904,,,,,0
SU22,2022-07-12,4,G407,huongttt,491,37,GBC0904,,,,,0
SU22,2022-07-12,5,G407,huongttt,491,38,GBC0904,,,,,0
SU22,2022-07-14,4,G407,huongttt,491,39,GBC0904,,,,,0
SU22,2022-07-14,5,G407,huongttt,491,40,GBC0904,,,,,0
